ID,,Organisation,User type,Data supplier,Data,Regio,website,Description,geregistreerd,DA-stakeholder,,,,,
33,,Brussels Airport,Data supplier,Organised transport - private,Air,Belgium - International,https://www.brusselsairport.be,"National airport, and also intermodal hub",No,Yes,,,,,
34,1c24bea0-4c07-477c-9162-52efc6cb672c ,Brussels Mobility,Data supplier,Transport authority,"Location (streets, adresses, etc)",Brussels ,https://mobilite-mobiliteit.brussels/en,Brussels mobility - lid van de PSA MMTIS werkgroep,Yes,Yes,,,,,
35,,BV-OECO,Consultancy,/,/,/,https://www.oeco.be/nl/node/1,Studiebureau mobiliteit dat in de green deal zit en beleidsadvies geeft,No (not neccesary),No,,,,,
36,efea590e-7d62-4120-8962-31c0067c7d2d ,Cambio,Data supplier,Demand responsive transport - private,Carsharing,Belgium - International,www.cambio.be,Autodelen ,Yes,yes,,,,,
37,,CarAmigo,Data supplier B2B,Demand responsive transport - private,Carsharing,Flanders TEN-T,https://www.caramigo.eu/,B2B autodelen binnen bedrijven,No (not neccesary),No,,,,,
38,,Cegeka,Consultancy,/,/,/,www.cegeka.com,"IT solutions, services & consultancy ",No (not neccesary),No,,,,,
39,,Charleroi Airport,Data supplier,Organised transport - private,Air,Belgium - International,https://www.brussels-charleroi-airport.com,"Brussels South Charleroi Airport S.A., the second airport serving the city of Brussels",No,Yes,,,,,
40,,Circ,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Flanders TEN-T,www.circ.com,"Deelsteps (stad A'pen, kortrijk)",No,Yes,,,,,
41,,CityMapper,Data user,/,/,/,,Multimodal transport app,No (not neccesary),No,,,,,
42,,Cloudbike,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Belgium - International,https://cloudbike.be/,"Bikesharing, zowel particulier als b2b",No,Yes,,,,,
43,,Commuty,Data user,Demand responsive transport - private,carpooling,Brussels ,www.commuty.net,B2B MaaS,No (not neccesary),No,,,,,
44,,Connect2Move,Data user,/,/,/,http://www.connect2move.be,Multimodal transport app,No (not neccesary),No,,,,,
45,bbd2be08-4234-4f92-81be-f0c4827bb326 ,CoopStroom,Data supplier,Demand responsive transport - private,Carsharing,Flanders Local,https://coopstroom.be,CoopStroom is een burgercoöperatie die naast groene energie ook 100% elektrische wagens aanbiedt.,Yes,Yes,,,,,
46,,Coventuris,Consultancy,/,/,/,https://www.coventuris.com/,Transport studiebureau,No (not neccesary),No,,,,,
47,da052ba0-a06a-448c-b71e-c7aae4a94e26 ,Cozywheels,Data supplier,Demand responsive transport - private,Carsharing,Belgium - International,https://www.cozywheels.be,Helpt bij privé-autodelen,Yes,Yes,,,,,
48,afe8ff35-ca50-46e2-be98-d19b0fc650b9 ,De Lijn ,Data supplier,Public transport,Multiple scheduled (Bus -metro -tram),Flanders TEN-T,https://www.delijn.be,PTO,Yes,Yes,,,,,
49,44f8d4c3-99f8-43c3-8cc0-3d11a7b10451 ,Degage,Data supplier,Demand responsive transport - private,Multiple Demand responsive ,Flanders TEN-T,www.degage.be,Helpt bij privé-auto- en fietsdelen,Yes,Yes,,,,,
50,,Deloitte,Consultancy,/,/,/,,Mobiliteitsconsulting,No (not neccesary),No,,,,,
51,,Digipolis,Other…,/,/,/,www.digipolis.be,ICT-diensten voor stad Gent en Antwerpen,No (not neccesary),No,,,,,
52,,DK Engineering & Services,Consultancy,/,/,/,www.dk engineering & services.be,"consultant with a broad experience in sales, automation, mobility",No (not neccesary),No,,,,,
53,,D'letteren,Other…,/,/,/,https://www.dieteren.be,Automtive mobility B2B,No (not neccesary),No,,,,,
54,4f423e99-f281-4ece-bb8a-08dea55b0f92 ,Donkey Republic,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Flanders Local,https://www.donkey.bike/,Deelfietsen - in België in Gent en Kortrijk,Yes,Yes,,,,,
55,f978c360-18fe-4f6f-9d8c-5fd55bd6d4a7 ,Dott,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Brussels ,https://ridedott.com/,"dockless, shared electrical scooters and bikes",Yes,Yes,,,,,
56,,Dual Inventive,Other…,/,/,/,https://dualinventive.com,Ontwikkelt ern produceert technologie voor spoorweginfrastructuur,No (not neccesary),No,,,,,
57,,Dynniq,Consultancy,/,/,/,https://dynniq.com,Digitale mobiliteitsoplossingen,No (not neccesary),No,,,,,
58,55d3ff67-6d27-4911-a79d-3602b213d9fb ,Eco-Movement,Data supplier,Infrastructure manager - private,E-charging stations,Belgium - International,http://www.eco-movement.com,platform for EV charge point data.,Yes,Yes,,,,,
59,,Egis,Consultancy,/,/,/,https://www.egis-group.com,Internationaal studiebureau mobiliteit/Operator airport Bruges and Oostende,No (not neccesary),Yes,,,,,
60,,ERA TRANS,Data supplier,Organised transport - private,Bus - long distance (scheduled),Belgium - International,,Internationaal busbedrijf,No,Yes,,,,,
61,,Espaces-mobilités,Consultancy,/,/,/,http://www.espaces-mobilites.com,Studiebureau mobiliteit,No (not neccesary),No,,,,,
62,,Eurofins,Consultancy,/,/,/,http://www.eurofins.be,marking management solutions,No (not neccesary),No,,,,,
63,,Europcar,Data supplier,Demand responsive transport - private,Car-hire,Belgium - International,https://www.europcar.be,autoverhuur aan particulieren,No,Yes,,,,,
64,,European Commision,Federation/network,/,/,/,, EC project officer van het CEF project NAP MMTIS,No (not neccesary),No,,,,,
65,,Eurostar,Data supplier,Organised transport - private,Train (international),Belgium - International,https://www.eurostar.com/be,high speed train that directly links the UK to France and Belgium via the Channel Tunnel,No,Yes,,,,,
66,,Ey,Consultancy,/,/,/,,"Consultancy, verzekeringen, taxen",No (not neccesary),No,,,,,
67,,Febiac,Federation/network,/,/,/,https://www.febiac.be,Federatie van auto's en tweewielers,No (not neccesary),No,,,,,
68,,Federdrive,Federation/network,/,/,/,https://www.federdrive.eu/,Federatie van erkende rijscholen en opleiding/rijvaardigheidscentra,No (not neccesary),No,,,,,
