ID,,Organisation,User type,Data supplier,Data,Regio,website,Description,geregistreerd,DA-stakeholder,,,,,
152,,NXP,Other…,/,/,/,www.nxp.com,"NXP Semiconductors N.V. (NASDAQ: NXPI) provides High Performance Mixed Signal and Standard Product solutions that leverage its leading RF, Analog, Power Management, Interface, Security and Digital Processing expertise. These innovations are used in a wide range of automotive, identification, wireless infrastructure, lighting, industrial, mobile, consumer and computing applications. A global semiconductor company with operations in more than 30 countries, NXP posted revenue of $4.4 billion in 2010. NXP drives innovation for improved vehicle efficiency and connected mobility. Key applications are car entertainment, invehicle networking, car access and immobilizers, sensors and power MOSFETs. Furthermore, NXP is key supplier for Automotive Logic, Display Drivers, Interface Products, and Small-Signal Discretes.  ",No (not neccesary),No,,,,,
153,,Oktopus,Other…,/,/,/,http://www.oktopus.be/,Remote sensing voor autodetectie,No (not neccesary),No,,,,,
154,,Olympus Mobility,Data user,/,/,/,https://www.olympus-mobility.be,"Duurzame mobiliteit voor bedrijven, shared mobility",No (not neccesary),No,,,,,
155,,Openknowledge,Federation/network,/,/,/,https://be.okfn.org/,umbrella organisation (non-profit/vzw/asbl) for Open Knowledge initiatives.,No (not neccesary),No,,,,,
156,9584fa07-c912-43a5-8d70-5287808a8507 ,OpenMobility,Data user,/,/,/,www.openmobility.be,aanbieder van mobilieitsdiensten,Yes,No,,,,,
157,,Optimile ,Data user,/,/,/,https://www.optimile.eu/,MaaS integrator ,No (not neccesary),No,,,,,
158,,OVRAZ SPRL,Data supplier,Organised transport - private,Bus - long distance (scheduled),Belgium - International,,Internationaal busbedrijf,No,Yes,,,,,
159,b6bc5309-3140-452e-9c1f-367338a1fc26 ,Parking.Brussels,Data supplier,Infrastructure manager - public,Car parking spaces,Brussels ,https://parking.brussels/,Parkeerbedrijf van regio Brussel,Yes,yes,,,,,
160,,Parkius,Consultancy,/,/,/,https://parkius.io,Digitaal parkeerbeheer,No (not neccesary),Yes,,,,,
161,f253715f-dc76-4be4-bcbe-e3ef1df57460 ,Partago,Data supplier,Demand responsive transport - private,Carsharing,Flanders TEN-T,www.partago.be,Burgercoöperatie voor E-cars,Yes,Yes,,,,,
162,,Pluris,Research,/,/,/,www.pluris.be,"une association pluridisciplinaire de compétences couvrant les domaines du développement territorial, de l’urbanisme et de l’environnement.",No (not neccesary),No,,,,,
163,,POLIS,Federation/network,/,/,/,https://www.polisnetwork.eu/,Netwerk van Europese steden en regios die samenwerken ter promotoie van inovatieve mobiliteitsoplossingen,No (not neccesary),No,,,,,
164,,Politics matters,Consultancy,/,/,/,https://www.politicsmatters.be/,Studiebureau Europese regelgeving (o.a. mobiliteit),No (not neccesary),No,,,,,
165,a91b5609-0b3d-44dd-a10c-6883938f1df1 ,Poppy,Data supplier,Demand responsive transport - private,Multiple Demand responsive ,Belgium - International,https://poppy.be/en/,"Deel auto's, scooters en fietsen en Brussel en Antwerpen",Yes,Yes,,,,,
166,,PTV group,Other…,/,/,/,https://www.ptvgroup.com,"PTV Group improves mobility and transport - by using world-class software, data and scientific know-how gained from four decades of experience in planning and optimising the movement of people and goods. Recognised as global market player with German technology, we help cities, companies and people save time and money, enhance road safety and minimise the impact on the environment. In Logistics, our portfolio ranges from software for scheduling transport routes and trips to distribution planning and fleet management, including truck navigation and parking. A special online service provides real-time info during the transport process and across the entire supply chain.  In Traffic, we offer technologies for traffic planning, network modelling and simulating across all modes of transport, including real-time traffic management as well as Mobility-as-a-Service (MaaS) solutions.  ",No (not neccesary),No,,,,,
167,,Pulsar Consulting,Consultancy,/,/,/,http://www.pulsar.be,IT consulting met expertise binnen de mobiliteitssecor,No (not neccesary),No,,,,,
168,,Pwc,Consultancy,/,/,/,www.pwc.be,"Audit, tax and consulting services. Mobiliteitsexpert.",No (not neccesary),No,,,,,
169,,Q2C,Other…,/,/,/,https://www.q2c.be/,Producent van parkeerautomaten en parkeersensoren,No (not neccesary),No,,,,,
170,,Railer ,Other…,/,/,/,,App die de NMBS railtime vervangt (onofficieel),No (not neccesary),No,,,,,
171,,Rauwers,Other…,/,/,/,https://rauwers.be,"Parking en urban mobility, signalisatie, verkeerscamera's",No (not neccesary),No,,,,,
172,1acfa71f-38ef-48ac-9394-7aa3b0b6bbc8 ,Renta,Federation/network,/,/,/,www.renta.be,Renta is the Belgian Vehicle Rental Assocation. Both long term rental and short term rental.,Yes,Yes,,,,,
173,,SAIT - Securitas,Consultancy,/,/,/,https://www.sait.be/,"SAIT nv is an independent specialist and advisor in integrated ICT. We provide private companies as well as local, national and international institutions with fully integrated, wireless systems and solutions for their ICT and security issues. Thanks to these high quality products, both private and public sector clients have at their fingertips the invaluable and essential tools they need for highly sensitive, confidential communication and data transfer. SAIT nv delivers solutions tailored to specific situations where security, guaranteed access and reliability are crucial. We are organized into 6 Centres of expertise offering “Mission Critical Solutions”: Mission Critical Communication Solutions, Physical Security Solutions, ICT Security Solutions, Data Center Infrastructure Services, Carrier Grade Solutions as well as Alignment & IT Governance. SAIT is part of Securitas. ",No (not neccesary),No,,,,,
174,,Sattelic,Other…,/,/,/,https://www.satellic.be/,Tolsystemen,No (not neccesary),No,,,,,
175,,SEMI TOURS BVBA ,Data supplier,Organised transport - private,Bus - long distance (scheduled),Belgium - International,http://www.semitours.be/,,No,Yes,,,,,
177,,Serv (sociaal economische raad Vlaanderen),Other…,/,/,/,www.serv.be,Sociaal-Economische Raad van Vlaanderen,No (not neccesary),No,,,,,
178,,Service2Cities,Other…,/,/,/,https://www.clearchannel.be,Onderdeel van Clear Channel Belgie die zich bezig houdt met de promotie van de fiets,No (not neccesary),No,,,,,
179,,Share Mobility,Data user,/,/,/,https://sharemobility.coù,MaaS-aanbieder,No (not neccesary),No,,,,,
180,,Siemens,Other…,/,/,/,www.siemens.com, Siemens Mobility,No (not neccesary),No,,,,,
181,2a624b63-e4c3-4a68-a44a-3a2714ed6d2f ,SNCB/NMBS,Data supplier,Public transport,Rail - conventional,Belgium - International,https://www.belgiantrain.be,PTO,Yes,Yes,,,,,
182,,Sofico,Consultancy,/,/,/,https://www.sofico.global/en/,IT consulting met expertise binnen de mobiliteitssecor,No (not neccesary),No,,,,,
183,,Spie,Other…,/,/,/,https://www.spie.be,"Laadpalen, parkingsensoren, informatieborden",No (not neccesary),No,,,,,
184,19f23fcf-eac7-4f54-a557-1e975ae9ba20 ,SPW Wallonie,Data supplier,Transport authority,"Location (streets, adresses, etc)",Wallonia TEN-T,,Transport authority,Yes,Yes,,,,,
185,00ba9872-c225-43a1-9539-11935ced7e5f ,Stad Antwerpen,Data supplier,Infrastructure manager - public,"Location (streets, adresses, etc)",Flanders TEN-T,www.antwerpen.be,Stad Antwerpen,Yes,Yes,,,,,
186,6b074cea-1660-401f-8782-b7c87e004ad4 ,Stad Gent,Data supplier,Infrastructure manager - public,"Location (streets, adresses, etc)",Flanders Local,https://stad.gent,Stad Gent,Yes,Yes,,,,,
187,,STAF CARS N.V.,Data supplier,Organised transport - private,Bus - long distance (scheduled),Belgium - International,https://www.sindbad.pl,Internationaal busbedrijf,No,Yes,,,,,
188,26ddfcf8-9a2b-4a78-b083-b6480dfd6a88 ,Stapp.in,Data supplier,Demand responsive transport - private,Carsharing,Flanders Local,https://www.stappin.be,Autodeelformule voor particulieren en bedrijven,Yes,Yes,,,,,
189,,Suivo,Other…,/,/,/,https://www.suivo.com/,Fleet management control hardware and software,No (not neccesary),No,,,,,
190,,SV TRAVEL SPRL,Data supplier,Organised transport - private,Bus - long distance (scheduled),Belgium - International,https://rc-travel.com/,Internationaal busbedrijf,No,Yes,,,,,
191,,SwapFiets,Data supplier,Demand responsive transport - private,Bike/Scooter -hire,Belgium - International,https://swapfiets.be,langetermijn fietshuren (per maand),No,Yes,,,,,
192,,Tapazz,Consultancy,/,/,/,https://tapazz.eu/,"Actief binnnen autodelen, levert/maakt software voor bedrijven dus niet rechtstreeks een aanbieder/gegevensaanbieder maar eerder een consultancy",No (not neccesary),No,,,,,
193,,Taxis Bleus,Data supplier,Demand responsive transport - private,taxi,Brussels ,https://www.taxisbleus.be,Brusselse taxidienst,No,Yes,,,,,
194,,Taxis verts,Data supplier,Demand responsive transport - private,taxi,Brussels ,https://taxisverts.be,Brusselse taxidienst,No,Yes,,,,,
195,,Taxistop,Federation/network,Demand responsive transport - private,carpooling,Belgium - International,https://www.taxistop.be/,"Centraliseert carpooldiensten, autodelen, last minute ferries, minder mobiel centrales etc",Yes,Yes,,,,,
196,c34fa256-6ece-465f-b074-7b5b161bb9b8 ,TEC,Data supplier,Public transport,Multiple scheduled (Bus -metro -tram),Wallonia TEN-T,www.infotec.be,PTO,Yes,Yes,,,,,
197,,Tein technology,Consultancy,/,/,/,http://www.teintechnology.com,Mobiliteits consultancy,No (not neccesary),No,,,,,
198,,Thalys,Data supplier,Public transport,Rail - high speed (Internationaal),Belgium - International,www.thalys.com,"Hogesnelheidstrein tussen België, Frankrijk, Nederland, Duitsland",No,Yes,,,,,
199,,The Mobility Factory SCE,Data supplier,Demand responsive transport - private,Carsharing,Belgium - International,http://www.themobilityfactory.eu/,"e-carsharing in Brussel, Antwerpen en Gent",No,Yes,,,,,
200,,The New Drive,Consultancy,/,/,/,https://www.thenewdrive.be/,Projectmanagementbureau met focus voor mobiliteitssector en duurzaamheid,No (not neccesary),No,,,,,
201,,Tomtom,Data user,/,/,/,www.tomtom.com,"Locatie, navigatie en kaart specialist",No (not neccesary),No,,,,,
202,,Touring,Other…,/,/,/,https://www.touring.be,Pechverhelping,No (not neccesary),No,,,,,
203,,Tractebel (Engie),Consultancy,/,/,/,https://tractebel-engie.be/,Goods transport,Parking & urban mobility,Police and rescue,,Taxation,Traffic Urban transport,No (not neccesary),No
204,,Trafineo,Other…,/,/,/,https://www.trafineo.com,EU tollsystemen provider,No (not neccesary),No,,,,,
205,,Transport & mobility Leuven,Research,/,/,/,www.tmleuven..be,applied mobility and transport research to support policy decisions,No (not neccesary),No,,,,,
206,,Transport Insights,Consultancy,/,/,/,https://transportinsights.com/,Irish based transport planning consultancy.,No (not neccesary),No,,,,,
207,,Traxio,Federation/network,/,/,/,https://www.traxio.be,Federatie van het autovervoer,No (not neccesary),No,,,,,
208,d1b2c541-42ee-4973-82dd-3b35528eb98c ,TUI,Data supplier,Organised transport - private,Air,Belgium - International,www.tui.be,chartervluchten (tuifly) en georganiseerde vakanties (tui),Yes,Yes,,,,,
209,09049f36-093d-44e2-8e6a-34c7fa4d1c01 ,Uber,Data supplier,Demand responsive transport - private,taxi,Brussels ,https://www.uber.com/global/nl/cities/brussels/,Alternatief voor taxi in Brusel,Yes,Yes,,,,,
210,,Ugent,Research,/,/,/,,Professor Ugent met focus op transporteconomie,No (not neccesary),No,,,,,
211,,Uhasselt - Instituut voor mobiliteit,Research,/,/,/,,Onderzoeker verkeerskunde Uhasselt,No (not neccesary),No,,,,,
212,,UAntwerpen - Departement Transport & ruimtelijke economie,Research,/,/,/,,Department transport en ruimtelijke economie van de UA,No (not neccesary),No,,,,,
213,,Universiteit Liege - Smart City Institute,Research,/,/,/,http://labos.ulg.ac.be/smart-city/en/,Onderzoeker mobiliteit,No (not neccesary),No,,,,,
214,,Unizo - departement mobiliteit,Federation/network,/,/,/,https://www.unizo.be/standpunten/mobiliteit,Afdeling van Unizo die zich bezig houdt met mobiliteit,No (not neccesary),No,,,,,
215,,Urbee,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Flanders Local,https://urbee.nl,Deelfietsen (momenteel in Leuven),No,Yes,,,,,
216,,VAB,Federation/network,/,/,/,http://www.vab.be,Mobiliteitsvereniging,No (not neccesary),No,,,,,
217,ffa2db5d-e730-499d-a82a-dd037b4dc2a9 ,Valckenier Share,Data supplier,Demand responsive transport - private,Car-hire,Belgium - International,https://www.valckeniergroep.be,Sales Advisor Fleet & Rent bij Valckenier,Yes,Yes,,,,,
218,,Velo,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Belgium - International,www.velo-antwerpen.be,Deelfietsen stad A'pen,No,Yes,,,,,
219,,Vereniging Vlaamse Provincies (VVP),Federation/network,/,/,Flanders Local,https://www.vlaamseprovincies.be/,"Provincies kunnen via dit contact bereikt worden, stafmedewerker mobiliteit",No (not neccesary),No,,,,,
220,,Victor,Data supplier,Demand responsive transport - private,taxi,Brussels ,http://www.victorcab.be/,Brusselse taxidienst,No,Yes,,,,,
221,,Villo!,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Brussels ,www.villo.be,Deelfietsen Brussel,No,Yes,,,,,
222,,Vito,Research,/,/,/,www.vito.be,,No (not neccesary),No,,,,,
223,,"Vlaanderen - Department Economie, wetenschap en innovatie",Other…,/,,/,,,No (not neccesary),No,,,,,
224,,Voi app,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,/,https://www.voiscooters.com/,Deel E-scooters (en fietsen) -> nog niet in België volgens hun website!,No (not neccesary),Yes,,,,,
225,,"Voyages Moulouya SPRL
",Data supplier,Organised transport - private,Bus - long distance (scheduled),Belgium - International,https://www.moulouya.ma/,Internationaal busbedrijf,No,Yes,,,,,
226,,VRP,Federation/network,/,/,/,www.vrp.be,Vlaamse vereniging voor ruimte en planning ,No (not neccesary),No,,,,,
227,,VUB,Research,/,/,/,https://mobi.research.vub.be/en/lo%C3%AFc-pecher,"VUB - mobi (mobility, logistics & automotive technology research center)",No (not neccesary),No,,,,,
228,,VVSG,Federation/network,/,/,/,www.vvsg.be,Vereniging Vlaamse steden en gemeentes. Lokale Nieuwsbrief,No (not neccesary),No,,,,,
229,,Waterbus,Data supplier,Organised transport - private,Maritime (incl. Ferry),Brussels ,https://www.waterbus.eu,"intergewestelijke, klokvaste waterbus in de kanaalzone tussen Brussel, Schaarbeek, Neder-Over-Heembeek en Vilvoorde",No,Yes,,,,,
230,,Wheels / Takewheels,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Brussels ,https://getwheelsapp.zendesk.com/hc/en-us ,Deelfietsen (Brussel),No,Yes,,,,,
231,,Whim,Data user,/,/,/,https://whimapp.com/be,Multimodal  transport app,No (not neccesary),No,,,,,
232,,Wibee,Data supplier,Demand responsive transport - private,Carsharing,Brussels ,https://www.wibee.be/nl,"Wibee is een aanbieder van (niet-elektrische) wagens, georganiseerd per wijkgroep.",No,Yes,,,,,
233,,Wijdelen/Peerby,Data supplier,Demand responsive transport - private,Multiple Demand responsive ,Flanders Local,https://www.peerby.com,Deelapp met een klein onderdeel voor het delen van persoonlijke fiets (en testfase voor de auto),No,Yes,,,,,
234,,Worldline,Other…,/,/,/,https://be.worldline.com,"At Worldline, connecting and securing transactions is what we do on a daily basis. With our technological expertise covering the whole payment value chain, and with millions of highly critical transactions running through our systems, we create and operate digital platforms that handle all the transactions between a company, its partners and its customers. Through our platforms, we empower the right person with exactly the right service at the right moment of engagement. And we do it using our knowledge of our customers, markets and the user journey – all powered by our innovation, creativity and A-to-Z support.

We are active in Merchant Services & Terminals, eMobility and eTransactional Services and Financial Processing. We generated annual revenues of € 1.22 billion in 2015 and employ over 8,600 people worldwide.  ",No (not neccesary),No,,,,,
235,,WoW-mobility,Other…,/,Multiple Demand responsive ,,https://wow-mobility.com/,"Organiseren deelfietsen, deelautos en secured fietsparkings voor bedrijven en steden",No (not neccesary),No,,,,,
236,,XXimo,Other…,/,/,/,https://www.xximo.be/,Mobiliteitsoplossingen voor de zakelijke reiziger,No (not neccesary),No,,,,,
237,8b624f67-60cd-4d1c-92f6-c3ded25308ea ,Zen car,Data supplier,Demand responsive transport - private,Carsharing,Belgium - International,http://zencar.eu/nl/,Autodelen voor bedrijven (B2B),Yes,Yes,,,,,
238,,FBAA,Federation/network,/,/,Belgium - International,https://www.fbaa.be/,Belgische Federatie van Autocar en Autobus,No (not neccesary),No,,,,,
239,,Control Body,Other…,/,/,/,,,No (not neccesary),No,,,,,
240,8dac6d74-69c0-4406-971d-d2a3fda5a9c2 ,Stoomlink,Data user,/,/,/,https://stoomlink.com/,Creates digital products for greener mobility - route planner,Yes,No,,,,,
241,,Belgian ITS Steering Committee,Other…,/,/,/,https://mobilit.belgium.be/nl/mobiliteit/intelligente_vervoersystemen/its_stuurgroep,,Yes,No,,,,,
242,,Hoppy,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Flanders Local,https://hoppsharing.be/,Electrische deelsteps in Mechelen,No (not neccesary),Yes,,,,,
243,,AAB Genva,Data supplier,Demand responsive transport - private,Car-hire,Flanders Local,http://www.aabgenva.be/,Autoverhuurbedrijf te Kontich,No (not neccesary),Yes,,,,,
244,,AVIS,Data supplier,Demand responsive transport - private,Car-hire,Belgium - International,www.avis.be,Autoverhuurbedrijf in meerdere steden,No,Yes,,,,,
245,,Delrue Rent,Data supplier,Demand responsive transport - private,Car-hire,Flanders Local,https://www.delruerent.be/index.php,Autoverhuurbedrijf in meerdere (kleinere) Vlaamse steden,No (not neccesary),Yes,,,,,
246,,De Roeck,Data supplier,Demand responsive transport - private,Car-hire,Flanders TEN-T,www.deroeck.be,Autoverhuurbedrijf in Antwerpen,No,Yes,,,,,
247,,Dockx rental,Data supplier,Demand responsive transport - private,Car-hire,Belgium - International,https://www.dockx.be,Autoverhuurbedrijf in meerdere Belgische steden,No,Yes,,,,,
248,,Mols Huurwagens,Data supplier,Demand responsive transport - private,Car-hire,Belgium - International,www.mols.be,Autoverhuurbedrijf in meerdere Belgische steden,No,Yes,,,,,
249,,Hertz,Data supplier,Demand responsive transport - private,Car-hire,Belgium - International,www.hertz.be,Autoverhuurbedrijf in meerdere Belgische steden,No,Yes,,,,,
250,,Sixt,Data supplier,Demand responsive transport - private,Car-hire,Belgium - International,www.sixt.be,Autoverhuurbedrijf in meerdere Belgische steden,No,Yes,,,,,
251,,Sobeltax,Data supplier,Demand responsive transport - private,Car-hire,Belgium - International,https://www.sobeltaxrental.be,Autoverhuurbedrijf in meerdere Belgische steden,No,Yes,,,,,
252,,Rent A Car,Data supplier,Demand responsive transport - private,Car-hire,Belgium - International,https://www.rentacar.be,Autoverhuurbedrijf in meerdere Belgische steden,No,Yes,,,,,
253,,VH Huurwagens,Data supplier,Demand responsive transport - private,Car-hire,Flanders Local,https://vhhuurwagens.be,Autoverhuur in Geel en omstreken,No (not neccesary),Yes,,,,,
254,,Liefkenshoektunnel,Data supplier,Infrastructure manager - private,Toll,Flanders TEN-T,https://www.liefkenshoektunnel.be/,Tunnel met tol in Antwerpen,No,Yes,,,,,
255,,Antwerp-tax,Data supplier,Demand responsive transport - private,taxi,Flanders TEN-T,www.antwerp-tax.be,Antwerpse taxicentrale,No,Yes,,,,,
256,,Aptu,Federation/network,Demand responsive transport - private,taxi,Flanders TEN-T,https://aptu.be,Antwerpse provinciale taxi unie,No (not neccesary),No,,,,,
257,,DTM Taxi,Data supplier,Demand responsive transport - private,taxi,Flanders TEN-T,https://dtmtaxi.be/,Antwerpse taxicentrale,No,Yes,,,,,
258,,Beepmeup,Data supplier,Demand responsive transport - private,taxi,Flanders TEN-T,https://beepmeup.be/,Antwerpse taxicentrale,No,Yes,,,,,
259,,Unitax,Data supplier,Demand responsive transport - private,taxi,Belgium - International,https://www.unitax.be/,"Taxicentrale Brussel, zaventem en vlaams brabant",No,Yes,,,,,
260,,Cargoroo,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Flanders Local,https://cargoroo.nl,Deel e-bakfietsen in Leuven,No (not neccesary),Yes,,,,,
261,,la navette fluviale,Data supplier,Organised transport - private,Maritime,Wallonia local,https://www.navettefluviale.be/en/,Ferry Luik,No (not neccesary),Yes,,,,,
262,,HUSK,Data supplier,Demand responsive transport - private,taxi,Brussels,www.justhusk.be,private driver platform in Brussels (B2B and for individuals),No,Yes,,,,,
263,,Fietsbus,Data supplier,Organised transport - private,Bus - classic (scheduled),Flanders TEN-T,https://www.portofantwerp.com/nl/fietsbus,Fietsbus van linker- naar rechteroever in de Antwerpsehaven,No,Yes,,,,,
264,,DeWaterbus,Data supplier,Organised transport - private,Maritime (incl. Ferry),Flanders TEN-T,https://dewaterbus.be/,Ferry van Antwerpen naar Hemiksem,No,Yes,,,,,
265,,Flexifleet,Consultancy,/,/,/,https://wizkey.eu/,SAAS - mobiliteitsconsultant (vroeger Bollides),No,No,,,,,
266,,Wizkey,Data supplier B2B,/,/,/,https://flexifleet.eu/,B2B car sharing and rental service,No,No,,,,,
267,,Waterlimo,Data supplier,Organised transport - private,Maritime (incl. Ferry),Flanders TEN-T,https://waterlimo.be,Ferry van Antwerpen naar Temse,No,Yes,,,,,
268,,Total,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.total.com,keten van tankstations,No,Yes,,,,,
269,,Q8,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.q8.be,keten van tankstations,No,Yes,,,,,
270,,Shell,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.shell.com,keten van tankstations,No,Yes,,,,,
271,,Texaco,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.texaco.com,keten van tankstations,No,Yes,,,,,
272,,Esso,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.esso.be,keten van tankstations,No,Yes,,,,,
273,,Lukoil,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.lukoil.be,keten van tankstations,No,Yes,,,,,
274,,Dats24,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,https://customer.dats24.be/wps/portal/datscustomer/nl/dats24/mobility,keten van tankstations,No,Yes,,,,,
275,,Gabriëls-Power,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.gabriels.be,keten van tankstations,No,Yes,,,,,
276,,Octa+,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.octaplus.be,keten van tankstations,No,Yes,,,,,
277,,Asoil,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,https://andrecelis.be/andrecelis_nl/asoil-tankstations,keten van tankstations,No,Yes,,,,,
278,,Avia,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.avia.be,keten van tankstations,No,Yes,,,,,
279,,G&V,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.g-v.be,keten van tankstations,No,Yes,,,,,
280,,Gulf,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.gulf.be,keten van tankstations,No,Yes,,,,,
281,,Maes,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,www.maes-oil.be,keten van tankstations,No,Yes,,,,,
282,,PMO,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,https://www.pmo-service.be/nl/tankstations,keten van tankstations,No,Yes,,,,,
283,,Pollet NV,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,http://polletnv.be/stations,keten van tankstations,No,Yes,,,,,
284,,Van Raak,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,https://vanraak.be,keten van tankstations,No,Yes,,,,,
285,,VdB Energie,Data supplier,Demand responsive transport - private,Refuelling points,Belgium - International,https://www.vdbenergie.be,keten van tankstations,No,Yes,,,,,
286,,VIAS,Federation/network,/,/,/,www.vias.be,Onafhankelijk kennisinstituut over verkeersveiligheid en mobiliteit,No,No,,,,,
287,,Sceltamobility,Consultany,/,/,/,www.sceltamobility.be,mobilietisbureau,No,No,,,,,
288,,Mobitwin,Data supplier,Demand responsive,/,Belgium - International,www.mobitwin.be,Sociaalvervoer voor mindermobielen,No,Yes,,,,,
